name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"Katana","KAT","https://icodrops.com/media/cache/62/f8/62f82f9c628e7d2e35de3c8b1aeeb19f.webp","https://icodrops.com/katana/","Binance Wallet Airdrop","—","—","Blockchain","9d left","","","","","","","","",""
"Avantis","AVNT","https://icodrops.com/media/cache/e0/10/e01027e560f575f8fb06d6b2e1c2e36a.webp","https://icodrops.com/avantis/","Airdrop","$12 M","$154 M","Perpetual","22d left","","Pantera Capital","Founders Fund","Galaxy","More Details","Ethereum","","",""
"Sproto Gremlins","","https://icodrops.com/media/cache/e2/b5/e2b5ac2bd9efd0d9ec66ba985ea8467c.webp","https://icodrops.com/sproto-gremlins/","NFT Sale","—","—","NFT","from Q2, 2023","","Ethereum","","","","","","",""
"EigenLayer","","https://icodrops.com/media/cache/fc/34/fc34b390a77ed3c664ed745da7539310.webp","https://icodrops.com/eigenlayer/","Points Farming","$234.4 M","$317.46 M","Liquid Staking Prot…","from Jun 14, 2023","","Andreessen Horowitz (a16z)","Blockchain Capital","Electric Capital","More Details","Ethereum","","",""
"Marginfi","MRGN","https://icodrops.com/media/cache/52/f8/52f8bb84339ce4d6c2c712cd8a7c8f63.webp","https://icodrops.com/marginfi/","Points Farming","$3 M","$100 M","Lending Platform","from Jul 3, 2023","","Multicoin Capital","Pantera Capital","Ryze Labs (Sino Global Capital)","More Details","Solana","","",""
"Worldcoin","WLD","https://icodrops.com/media/cache/41/38/41385c743b046f29ba236da84165db61.webp","https://icodrops.com/worldcoin/","Incentive Activities","$375 M","$3.73 B","Artificial Intellig…","from Jul 23, 2023","","1confirmation","Andreessen Horowitz (a16z)","a16z crypto CSX","More Details","Ethereum","Optimism","",""
"Project AEON","","https://icodrops.com/media/cache/3c/c7/3cc71dc0b29d10b698743c0148d0832f.webp","https://icodrops.com/project-aeon/","NFT Sale","—","—","NFT","from Nov 20, 2023","","","","","","","","",""
"INIT Capital","","https://icodrops.com/media/cache/20/1e/201e33aecc5783500cee8ab5c321571a.webp","https://icodrops.com/init-capital/","Points Farming","$3 M","$50 M","DeFi","from Dec 11, 2023","","Electric Capital","Bankless","Faction","More Details","Blast","Mantle","",""
"Kelp DAO","KEP","https://icodrops.com/media/cache/f3/82/f382420d16873478a99c6cd93cbb36b8.webp","https://icodrops.com/kelp-dao/","Points Farming","$9 M","$90 M","Platform","from Dec 12, 2023","","DWF Labs","Bankless","HTX Ventures (previously Huobi Ventures)","More Details","Ethereum","","",""
"CVEX","CVEX","https://icodrops.com/media/cache/7c/3b/7c3bf3d318504603c447ac31b0e8ac31.webp","https://icodrops.com/cvex/","Incentivized Activities","$7 M","—","DeFi","from Dec 23, 2023","","Fabric Ventures","FiveT Fintech","FunFair Ventures","More Details","","","",""
"Black Panther","BLACK","https://icodrops.com/media/cache/00/6e/006eefd291af3bb023502213eb1ab887.webp","https://icodrops.com/black-panther/","Incentivized Activities","—","$1.32 M","DeFi","from Dec 26, 2023","","Taureon","CSP DAO","DojoSwap","More Details","Injective Protocol","","",""
"Kalshi","","https://icodrops.com/media/cache/38/53/385320095c742ff47898e9be57811046.webp","https://icodrops.com/kalshi/","Possible Retrodrop","$1.49 B","$11 B","Predictions","from Q1, 2024","","Andreessen Horowitz (a16z)","Multicoin Capital","Paradigm","More Details","","","",""
"Polymarket","","https://icodrops.com/media/cache/e3/d3/e3d38e55ee7adc6c26031ae0cfb8a8bb.webp","https://icodrops.com/polymarket/","Possible Retrodrop","$2.28 B","$9 B","DeFi","from Q1, 2024","","1confirmation","Balaji Srinivasan","Blockchain Capital","More Details","","","",""
"Eigenpie SubDAO","EGP","https://icodrops.com/media/cache/43/b7/43b7e1a6a38b05a0069a7693926bcebb.webp","https://icodrops.com/eigenpie-subdao/","Points Farming","—","$411.7 K","DeFi","from Jan 22, 2024","","Robot Ventures","Sam Kazemian","Akshat Vaidya","More Details","Ethereum","","",""
"Partisia Blockchain","MPC","https://icodrops.com/media/cache/a4/27/a42743e9b9d9894b70e1101bfcef56ec.webp","https://icodrops.com/partisia-blockchain/","Airdrop","$53.9 M","$7.74 M","Blockchain Service","from Feb 1, 2024","","BitScale Capital","Gate.io","Kosmos Ventures","More Details","","","",""
"Puffer Finance","PUFFER","https://icodrops.com/media/cache/ce/b5/ceb54e5ecf61b1a4568410a0e36bb54e.webp","https://icodrops.com/puffer-finance/","Points Farming","$24.27 M","$26.16 M","Liquid Staking Prot…","from Feb 1, 2024","","YZi Labs (prev Binance Labs)","Brevan Howard","Electric Capital","More Details","Ethereum","","",""
"Mantle","MNT","https://icodrops.com/media/cache/7f/27/7f27cd7be00921232c33d5c5399a0545.webp","https://icodrops.com/mantle/","Points Farming","—","$4.19 B","Layer-2","from Feb 25, 2024","","Ethereum","","","","","","",""
"Agent Exchange","","https://icodrops.com/media/cache/36/5e/365e652fbd1c96d58e894affe10c0104.webp","https://icodrops.com/agent-exchange/","Points Farming","$1 M","—","DeFi","from Feb 27, 2024","","Caladan (Alphalab)","cygaar","David Choi","More Details","","","",""
"Aark Digital","AARK","https://icodrops.com/media/cache/d2/22/d22284c29db202cb21b8212bb1a4df85.webp","https://icodrops.com/aark-digital/","Incentivized Activities","$6 M","$776.33 K","Perpetual","from Mar 4, 2024","","Delphi Digital (Delphi Labs)","Arrington Capital","HashKey Capital","More Details","Arbitrum","","",""
"Edu3Labs","NFE","https://icodrops.com/media/cache/2b/28/2b28a9fa1daa8e89edf92b5e1ad3ac8f.webp","https://icodrops.com/edu3labs/","IDO on GameFi","—","$27 M","Education","from Q1, 2024","","ConsenSys","Animoca Brands","PayCoin Capital","More Details","Binance coin","","",""
"Zircuit","","https://icodrops.com/media/cache/ad/d0/add002e0cc8a1a60b9f8fdfa2154c3e4.webp","https://icodrops.com/zircuit/","Points Farming","—","$17.63 M","Layer-2","from Mar 14, 2024","","YZi Labs (prev Binance Labs)","Amber Group","Selini Capital","More Details","Ethereum","","",""
"Tanuki","TANUPAD","https://icodrops.com/media/cache/5e/ca/5eca96b784be69e8de03c6701348ed21.webp","https://icodrops.com/tanuki/","Presale","$504.18 K","$14 M","Launchpad","from Apr 1, 2024","","Solana","","","","","","",""
"Heurist","HEU","https://icodrops.com/media/cache/8f/44/8f44dca00f5275df00b048f31892f400.webp","https://icodrops.com/heurist/","Points Farming","$2 M","$6.91 M","DePIN","from Apr 1, 2024","","Amber Group","Manifold Trading","Selini Capital","More Details","","","",""
"StakeLayer","STAKE","https://icodrops.com/media/cache/9a/0a/9a0a40338c4f713488bfcb1433bc6208.webp","https://icodrops.com/stakelayer/","Presale","—","$157.96 K","Liquid Staking Prot…","from Apr 3, 2024","","Bitcoin","","","","","","",""
"IvendPay","IVPAY","https://icodrops.com/media/cache/ed/10/ed10999e446eb27dd42fe1035a93c78b.webp","https://icodrops.com/ivendpay/","IDO on SeaPad","$4.2 M","$679.2 K","BNB Chain Ecosystem","from Q2, 2024","","","","","","","","",""
"Karak","","https://icodrops.com/media/cache/94/0c/940c33aa263f0210a9aaa4d0de7c5fd8.webp","https://icodrops.com/karak/","Points Farming","$48 M","$1 B","Layer-2","from Apr 8, 2024","","Bain Capital Ventures","Framework Ventures","Lightspeed Venture Partners","More Details","Ethereum","Own","",""
"RaysX","RAX","https://icodrops.com/media/cache/ac/e7/ace76bda0a8c50f675bb32075a34b613.webp","https://icodrops.com/raysx/","Community Sale","$250 K","$6.25 M","DeFi","from Apr 10, 2024","","Binance coin","Ethereum","","","","","",""
"Mezo","","https://icodrops.com/media/cache/72/d5/72d5c31feef0a4df90207a1a5877c144.webp","https://icodrops.com/mezo/","Points Farming","$28.5 M","—","Blockchain","from Apr 11, 2024","","Multicoin Capital","Pantera Capital","Draper Associates","More Details","","","",""
"SatoshiSync","SSCN","https://icodrops.com/media/cache/37/89/3789f6ade0aa0494253c1acd6439fa50.webp","https://icodrops.com/satoshisync/","IDO on Ape Terminal","—","—","DeFi","from Q2, 2024","","ZBS Capital","Candaq Fintech Group","ChainLink","More Details","Ethereum","","",""
"Bored Slot","","https://icodrops.com/media/cache/c5/79/c5798051f5cf8265c4dff0eb1a9f572d.webp","https://icodrops.com/bored-slot/","Incentivized Activities","$10 M","—","Gambling","from Apr 12, 2024","","LD Capital","Plutus VC","","","","","",""
"Cellula","","https://icodrops.com/media/cache/1a/d1/1ad122b30f8d169285a0059134c9e096.webp","https://icodrops.com/cellula/","Incentivized Activities","$2 M","$9.2 K","Gaming","from Apr 14, 2024","","YZi Labs (prev Binance Labs)","OKX Ventures","SevenX Ventures","More Details","","","",""
"Zoth","ZOTH","https://icodrops.com/media/cache/fb/ce/fbce0bff1c795ca411111bbf787288e2.webp","https://icodrops.com/zoth/","Incentivized Activities","$21.5 M","—","DeFi","from Apr 16, 2024","","Momentum 6","Outlier Ventures","Borderless Capital","More Details","Ethereum","","",""
"BITBRAWL","BRAWL","https://icodrops.com/media/cache/3c/64/3c642438f17af24eecf0e18e434b1115.webp","https://icodrops.com/bitbrawl/","Public Sale","$3 M","$5.5 K","Gaming","from Q2, 2024","","Morningstar Ventures","Big Brain Holdings","Shima Capital","","","","",""
"Plena","PLENA","https://icodrops.com/media/cache/82/0d/820dad1384d5ff76af6d4966c9e280f2.webp","https://icodrops.com/plena/","IDO on Decubate","$7.75 M","$164.1 K","Wallet","from Q2, 2024","","ConsenSys","Big Brain Holdings","Boxmining","More Details","Polygon (prev. Matic Network)","","",""
"Oxya Origin","OXYZ","https://icodrops.com/media/cache/11/5a/115a3e405188e238a170b8069d15389d.webp","https://icodrops.com/oxya-origin/","IDO on GameFi","$1.41 M","$487.1 K","Gaming","from Q2, 2024","","Binance coin","","","","","","",""
"Plots Finance","PLOTS","https://icodrops.com/media/cache/86/50/865080e54cbbec3ae59a12892f3d614e.webp","https://icodrops.com/plots-finance/","IDO on Seedify","—","—","Gaming","from Q2, 2024","","Ethereum","","","","","","",""
"OPZ","OPZ","https://icodrops.com/media/cache/1b/02/1b029b5c32ce92a9f0eeeffa3a61771e.webp","https://icodrops.com/opz/","Presale","$865 K","$39.92 M","DeFi","from May 1, 2024","","Ethereum","","","","","","",""
"Outlanders","LAND","https://icodrops.com/media/cache/3d/38/3d38c126f965d83b4b6bf3e109cb54ca.webp","https://icodrops.com/outlanders/","IDO on Poolz","—","$24 M","Gaming","from Q2, 2024","","Binance coin","","","","","","",""
"Aggregata","","https://icodrops.com/media/cache/ba/be/babeea8016eddf4fe91cadac2421399b.webp","https://icodrops.com/aggregata/","Incentive Activities","$4 M","$2.97 M","Artificial Intellig…","from May 6, 2024","","YZi Labs (prev Binance Labs)","Manifold Trading","Maelstrom","More Details","","","",""
"Hydro Protocol","HDRO","https://icodrops.com/media/cache/8f/75/8f75db7511de31bea49b7751fe53d29d.webp","https://icodrops.com/hydro-protocol-2/","Public Sale","—","$1.41 M","DeFi","from Q2, 2024","","SkyVision Capital","Black Dragon","Taureon","More Details","Injective Protocol","","",""
"Superform","UP","https://icodrops.com/media/cache/fd/94/fd94fbc1a5f2e58eb75007447bc9ba6d.webp","https://icodrops.com/superform/","Points Farming","$12.92 M","$37.68 M","Neobank","from May 9, 2024","+5","Polychain Capital","Amber Group","Strobe (Prev. BlockTower Capital)","More Details","Binance coin","Optimism","FANTOM","More Details"
"Taiko","TAIKO","https://icodrops.com/media/cache/af/68/af68cc07bf1414ad805d58de62a04b26.webp","https://icodrops.com/taiko/","Incentivized Activities","$37 M","$114.1 M","Layer-2","from May 21, 2024","","Lightspeed Venture Partners","HongShan (ex-Sequoia China)","Hashed","More Details","Taiko","","",""
"CV Pad","CVPAD","https://icodrops.com/media/cache/df/4b/df4bcd3c849de34d72113f20d79ca1ce.webp","https://icodrops.com/cv-pad/","Launchpad on CVPad","$2.97 M","$20 M","Launchpad","from May 23, 2024","","","","","","","","",""
"PlayDoge","PLAY","https://icodrops.com/media/cache/75/37/75374c6f69e681ad0eee84898c96bae9.webp","https://icodrops.com/playdoge/","Presale","$5.79 M","$48.88 M","Play-To-Earn","from Q2, 2024","","","","","","","","",""
"Aperture Finance","APT","https://icodrops.com/media/cache/42/27/4227b10e1108a9cd1acb48baec48975e.webp","https://icodrops.com/aperture-finance/","Airdrop","$12 M","$19.24 K","DeFi","from May 31, 2024","","Arrington Capital","Divergence Ventures","ParaFi Capital","More Details","","","",""
"Solana VM","SVM","https://icodrops.com/media/cache/ec/9f/ec9f51a241dd0d4eee0a68f529678c4c.webp","https://icodrops.com/solana-vm/","Public Sale","$3.87 M","$74.56 M","DeFi","from Q2, 2024","","Solana","","","","","","",""
"Nubit","","https://icodrops.com/media/cache/5e/b8/5eb8100db8bb2a6d837e2cb2d39ad445.webp","https://icodrops.com/nubit/","Incentivized Activities","$11 M","—","Infrastructure","from Jun 8, 2024","","Polychain Capital","OKX Ventures","The Spartan Group","More Details","Bitcoin","","",""
"AI Arena","","https://icodrops.com/media/cache/75/28/75281ee0d87e83e56de1f39be8ec23f9.webp","https://icodrops.com/ai-arena/","Airdrop","$11 M","$34.2 M","Gaming","from Jun 8, 2024","","Framework Ventures","Paradigm","SevenX Ventures","More Details","","","",""
"Mellow Protocol","","https://icodrops.com/media/cache/59/50/59505992fdaa44d76a9daf412b01a474.webp","https://icodrops.com/mellow-protocol/","Points Farming","$2.75 M","$70 M","Liquid Staking Prot…","from Jun 11, 2024","","Arrington Capital","Lemniscap","ParaFi Capital","More Details","Symbiotic","Ethereum","",""
"Symbiotic","","https://icodrops.com/media/cache/60/cc/60ccf2a4318b7bc52b50cc7fbcf01685.webp","https://icodrops.com/symbiotic/","Points Farming","$34.8 M","$300 M","Liquid Staking Prot…","from Jun 11, 2024","","Pantera Capital","Paradigm","Coinbase Ventures","More Details","Ethereum","","",""
"BitDoge","BITDOGE","https://icodrops.com/media/cache/55/dd/55dd5a34cf80c079d27afca9e6bdbde0.webp","https://icodrops.com/bitdoge/","Presale","$1.06 M","$54.9 M","Memecoin","from Jun 24, 2024","","Bitcoin","","","","","","",""
"Conduit","","https://icodrops.com/media/cache/4c/03/4c03b9a7d8106e284614748bec2556e8.webp","https://icodrops.com/conduit/","Retrodrop","$44 M","—","Platform","from Jun 25, 2024","","Paradigm","Bankless","Coinbase Ventures","More Details","","","",""
"ORA (Hyper Oracle)","","https://icodrops.com/media/cache/c5/3c/c53c95a3c3255328bd21c700d2626849.webp","https://icodrops.com/hyper-oracle/","Points Farming","$23 M","—","Infrastructure","from Jul 2, 2024","","Polychain Capital","HongShan (ex-Sequoia China)","HashKey Capital","More Details","Ethereum","","",""
"Kakarot zkEVM","","https://icodrops.com/media/cache/39/18/3918d31d1d0e0dceb4eaa50ab35a295e.webp","https://icodrops.com/kakarot-zkevm/","Testnet Airdrop","—","—","Layer-2","from Jul 4, 2024","","Vitalik Buterin","CMS Holdings","Fenbushi Capital","More Details","Ethereum","StarkNet","",""
"Fuel Network","FUEL","https://icodrops.com/media/cache/7d/8d/7d8d44d26af58c3ae25009408aec98df.webp","https://icodrops.com/fuel-network/","Points Farming","$90.9 M","$11.64 M","Layer-2","from Jul 8, 2024","","Bain Capital Ventures","Blockchain Capital","CoinFund","More Details","Fuel Network","","",""
"Crudo Protocol","CRUDO","https://icodrops.com/media/cache/bd/f0/bdf0ad34d819b76bdcbc829f876ac6e9.webp","https://icodrops.com/crudo-protocol/","Presale","$423 K","$9 M","Blockchain Platform","from Q3, 2024","","Binance coin","","","","","","",""
"OKX","OKB","https://icodrops.com/media/cache/7d/c9/7dc9ac3329c9b09b2aa2d045b70cc8aa.webp","https://icodrops.com/okx/","Play to Earn","—","$25 M","Exchange","from Jul 22, 2024","","Intercontinental Exchange","","","","","","",""
"Reddio","","https://icodrops.com/media/cache/d7/91/d79121034d2fae19d7ebb15968bc0c9d.webp","https://icodrops.com/reddio/","Points Farming","—","$882.7 K","Layer-2","from Aug 12, 2024","","Paradigm","Arena Holdings","Contribution Capital","More Details","","","",""
"ChainGPT","CGPT","https://icodrops.com/media/cache/07/45/0745b2a1472b6d5c6391827a3d6a6b82.webp","https://icodrops.com/chaingpt/","Tap-to-Earn","$1.91 M","$20.89 M","Artificial Intellig…","from Sep 4, 2024","","YAY Network","","","","","","",""
"Level","","https://icodrops.com/media/cache/e1/70/e17038833e22911f582a532b1416f7be.webp","https://icodrops.com/level-2/","Point System Activity","$6.2 M","—","DeFi","from Sep 10, 2024","","Balaji Srinivasan","Polychain Capital","Dragonfly Capital","More Details","","","",""
"Gradient Network","","https://icodrops.com/media/cache/c1/ff/c1ff90dfc192734201dbb1404ffefc9d.webp","https://icodrops.com/gradient-network/","Airdrop","$10 M","—","Infrastructure","from Sep 12, 2024","","Multicoin Capital","Pantera Capital","HongShan (ex-Sequoia China)","","","","",""
"U2U Network (Unicorn Ultra)","U2U","https://icodrops.com/media/cache/55/2d/552d1d4a61b6c4e6f5bfc13627519754.webp","https://icodrops.com/u2u-unicorn-ultra/","Airdrop","$23.8 M","$8 M","DePIN","from Sep 15, 2024","","Chain Capital","IDG Capital","Cointelegraph","More Details","","","",""
"KuCoin","","https://icodrops.com/media/cache/e7/aa/e7aa96af253bf2e29e0414815368ca99.webp","https://icodrops.com/kucoin/","Tap-to-Earn","$45 M","$1.11 B","CEX","from Sep 15, 2024","","IDG Capital","Matrix Partners","NEO","","","","",""
"Binance coin","BNB","https://icodrops.com/media/cache/2d/2b/2d2b7b10509608b80da8d8a8581504f3.webp","https://icodrops.com/binancecoin/","Tap-to-Earn","$35 M","$84.5 B","Blockchain","from Sep 17, 2024","","Sequoia Capital","Black Hole Capital","Chandler Guo","More Details","","","",""
"Open Campus","EDU","https://icodrops.com/media/cache/c5/ab/c5abbecb6a45a11bae4b863aea7ed3ac.webp","https://icodrops.com/open-campus/","Incentivized Testnet","$10.65 M","$97.45 M","Education","from Sep 25, 2024","","YZi Labs (prev Binance Labs)","HongShan (ex-Sequoia China)","Animoca Brands","More Details","Ethereum","Polygon (prev. Matic Network)","",""
"CratD2C","CRATD2C","https://icodrops.com/media/cache/af/c6/afc6163d1f51b6e5a4ab14dc3c9d8879.webp","https://icodrops.com/cratd2c/","ICO","$1.21 M","$160 M","Blockchain","from Sep 30, 2024","","Binance coin","","","","","","",""
"Diamante","","https://icodrops.com/media/cache/c8/27/c82768e3e64b9c2e33d5a520678aca12.webp","https://icodrops.com/diamante/","Retroactive Airdrop","$750 K","—","Blockchain","from Oct 3, 2024","","","","","","","","",""
"Babylon","","https://icodrops.com/media/cache/09/62/09627a4df762c6d9e804627e1dd63ef4.webp","https://icodrops.com/babylon/","Points Farming","$108.3 M","$125 M","Blockchain","from Oct 8, 2024","","Andreessen Horowitz (a16z)","YZi Labs (prev Binance Labs)","Framework Ventures","More Details","Bitcoin","","",""
"Tiny Verse","","https://icodrops.com/media/cache/c5/60/c5601519211f0193fb5dce83b55aa869.webp","https://icodrops.com/tiny-verse/","Tap-to-Earn","—","—","Gaming","from Nov 18, 2024","","The Open Network","","","","","","",""
"Balance","EPT","https://icodrops.com/media/cache/57/4b/574b08e359932a3c655341e1df8ccf45.webp","https://icodrops.com/balance/","Node Sale Round","$40 M","$7.97 M","Gaming","from Nov 26, 2024","","Andreessen Horowitz (a16z)","DWF Labs","Amber Group","More Details","","","",""
"Impossible Cloud","ICNT","https://icodrops.com/media/cache/0f/3a/0f3a22416fbdb0a2c002117725cd9d0b.webp","https://icodrops.com/impossible-cloud/","Node Sale Round","$11 M","—","Platform","from Dec 5, 2024","","","","","","","","",""
"Ringfence","","https://icodrops.com/media/cache/d2/de/d2de593b8ad93c1c5a17e5acd0c51d56.webp","https://icodrops.com/ringfence/","Node Sale Round","$1.5 M","$100.4 K","Blockchain Service","from Dec 12, 2024","","Morningstar Ventures","Rarestone Capital","Spark Digital Capital","More Details","","","",""
"OpenLoop","OPL","https://icodrops.com/media/cache/8d/0d/8d0d8056934d52df51f6c388723d80e6.webp","https://icodrops.com/openloop/","Node Sale Round","$15 M","$2.41 K","Blockchain Service","from Dec 18, 2024","","IPN Foundation","","","","","","",""
"Musicdibs","DIBS","https://icodrops.com/media/cache/bd/ab/bdabb77ab359008f6c4f56d7ca10fe68.webp","https://icodrops.com/musicdibs/","Presale Round 2","$275 K","$5.5 M","DePin","from Jan 1, 2025","","Solana","","","","","","",""
"PepeArab","PEAB","https://icodrops.com/media/cache/62/f5/62f52b9d39d28ed5e499b9b5b76c8c03.webp","https://icodrops.com/pepearab/","Presale","$310 K","$10 M","Memecoin","from Jan 25, 2025","","Solana","Ethereum","","","","","",""
"Abstract","","https://icodrops.com/media/cache/9a/30/9a30451ee8ccffe16bf2f81ac898f4a5.webp","https://icodrops.com/abstract/","Incentivized Activities","—","—","Layer-2","from Jan 27, 2025","","Electric Capital","0xMaki","Igloo","More Details","","","",""
"Aten7","","https://icodrops.com/media/cache/2f/9a/2f9affd2ec76986261ab5b6ab6be1435.webp","https://icodrops.com/aten7/","Public Sale","$500 K","—","Gaming","from Feb 5, 2025","","","","","","","","",""
"Unichain","","https://icodrops.com/media/cache/11/cc/11cc9b6d09b8e4d8dd7a445a0c667ae3.webp","https://icodrops.com/unichain/","Airdrop","—","—","Blockchain","from Feb 11, 2025","","Unichain","","","","","","",""
"Arcium (Elusiv)","","https://icodrops.com/media/cache/59/f6/59f65164bb36e5c316f04e5a4a4c953a.webp","https://icodrops.com/arcium/","Testnet","$10 M","$200 M","Blockchain Service","from Feb 21, 2025","","Jump Crypto","Coinbase Ventures","Moonrock Capital","More Details","","","",""
"Linera","","https://icodrops.com/media/cache/c5/b8/c5b888b447328f43e085fbd42d3f5736.webp","https://icodrops.com/linera/","Testnet","$12 M","—","Infrastructure","from Apr 17, 2025","","Andreessen Horowitz (a16z)","Tribe Capital","Eterna Capital","More Details","","","",""
"Nirvana (Parallel Finance)","","https://icodrops.com/media/cache/3e/3d/3e3d162663833fa1946768753704b07d.webp","https://icodrops.com/nirvana-finance/","Node Sale Round","$34 M","$49.64 M","Lending Platform","from Q2, 2025","","Lightspeed Venture Partners","Pantera Capital","Polychain Capital","More Details","","","",""
"CUDIS","","https://icodrops.com/media/cache/c4/f7/c4f75d20507427e32e42137aa2a68403.webp","https://icodrops.com/cudis/","Presale","$5 M","$7.37 M","Blockchain Service","from May 13, 2025","","Draper Associates","Draper Dragon","NGC Ventures","More Details","Solana","","",""
"RabitiAI","RIAI","https://icodrops.com/media/cache/2f/de/2fde049408e8d55ba9cc3c97e1c2ebb4.webp","https://icodrops.com/rabitiai/","Airdrop","$15.34 M","$99.2 M","Blockchain Service","from May 20, 2025","","D5Wav","Nortiyus","","","","","",""
"OpenSea","SEA","https://icodrops.com/media/cache/9d/05/9d054bd7c25638544779f0daf9e5aab7.webp","https://icodrops.com/opensea/","Airdrop","—","—","NFT marketplace","from May 29, 2025","","","","","","","","",""
"PrismaX","","https://icodrops.com/media/cache/01/d1/01d1bace918087221228234fa4575f0b.webp","https://icodrops.com/prismax/","Incentivized Activities","$11 M","—","Artificial Intellig…","from Jun 3, 2025","","a16z crypto CSX","Volt Capital","Blockchain Builders Fund","More Details","","","",""
"DeXRP","DXP","https://icodrops.com/media/cache/d4/21/d4218281145fad5b789f668b7a824980.webp","https://icodrops.com/dexrp/","Incentivized Activities","$4.33 M","$19.94 M","DeFi","from Q2, 2025","","Solana","Ethereum","","","","","",""
"Nansen","NSN","https://icodrops.com/media/cache/ad/c2/adc2c4748bdaa9d4f7802a9205ee2355.webp","https://icodrops.com/nansen/","Incentivized Activities","$88.2 M","—","Blockchain Service","from Jun 17, 2025","","Andreessen Horowitz (a16z)","BitScale Capital","Coinbase Ventures","More Details","","","",""
"Nexus Laboratories","","https://icodrops.com/media/cache/3f/f9/3ff952ca21de31a6f281e8fa13969560.webp","https://icodrops.com/nexus-laboratories/","Testnet","$25 M","—","Infrastructure","from Jun 24, 2025","","Lightspeed Venture Partners","Pantera Capital","Dragonfly Capital","More Details","","","",""
"Reveel","REVA","https://icodrops.com/media/cache/8e/b6/8eb6de72a7e66cd700974efcee102e79.webp","https://icodrops.com/reveel/","Binance Wallet Booster Program","$1.5 M","$10 M","Blockchain Service","from Aug 14, 2025","","YZi Labs (prev Binance Labs)","AccVentures","Connectico Capital","More Details","","","",""
"CAP","","https://icodrops.com/media/cache/85/fd/85fd9267ef82077ec0981896538db1ed.webp","https://icodrops.com/cap-3/","Points Farming","$9.9 M","—","DeFi","from Aug 18, 2025","","Fernando Martinelli","Selini Capital","Bryan Pellegrino","More Details","","","",""
"Holoworld AI","HOLO","https://icodrops.com/media/cache/7b/53/7b53cca0d8714b029aca00af4a552028.webp","https://icodrops.com/holoworld-ai/","Binance Wallet Booster Program","$100 K","$123.76 M","Launchpad","from Sep 2, 2025","","","","","","","","",""
"Yield Basis","YB","https://icodrops.com/media/cache/58/67/586759bc74667546ce409bc7da8c1559.webp","https://icodrops.com/yield-basis/","Liquidity Mining","$12.5 M","$159 M","DeFi","from Sep 24, 2025","","Ethereum","","","","","","",""
"DexToro","DTR","https://icodrops.com/media/cache/d0/7d/d07d394c38fb6b95290788ec4ec50bf9.webp","https://icodrops.com/dextoro/","Presale","$268 K","$340 M","DeFi","from Oct 24, 2025","","Solana","","","","","","",""
"Arc","","https://icodrops.com/media/cache/53/9d/539d7b326bbd9c13118fc7f8f8c26db6.webp","https://icodrops.com/arc/","Testnet","—","—","Blockchain","from Oct 28, 2025","","","","","","","","",""
"Codex","","https://icodrops.com/media/cache/8e/63/8e637236cbfe7bd1789b5864cb2794cb.webp","https://icodrops.com/codex-2/","Possible Retrodrop","$15.8 M","—","Infrastructure","from Nov 14, 2025","","Coinbase Ventures","Cumberland","Dragonfly Capital","More Details","","","",""
"HyperSignals","","https://icodrops.com/media/cache/40/e9/40e9aa155eb8d694bd0d0f5f099abad0.webp","https://icodrops.com/hypersignals/","Incentivized Activities","—","—","Trading","from Dec 25, 2025","","","","","","","","",""
"ZNS Connect","ZNS","https://icodrops.com/media/cache/6a/f6/6af64bee3eecffe8fa860a8d948dc3d0.webp","https://icodrops.com/zns-connect/","Pre-Sale Phase 3","—","$16 M","Web 3.0","from Q4, 2025","","Ethereum","","","","","","",""
"SUBBD","SUBBD","https://icodrops.com/media/cache/20/60/206027f36e42971534fa1f1ca2dbe9c1.webp","https://icodrops.com/subbd/","Presale","$1.39 M","$56.85 M","Blockchain Service","from Dec 31, 2025","","Ethereum","","","","","","",""
"Probable","","https://icodrops.com/media/cache/54/f0/54f090c5c5a1b8dac00ea5a0396594f8.webp","https://icodrops.com/probable/","Incentivized Activities","—","—","Predictions","from Jan 12, 2026","","YZi Labs (prev Binance Labs)","PancakeSwap","Predict.fun","Binance coin","","","",""
"Unitas","UP","https://icodrops.com/media/cache/8e/c3/8ec320da57d1384c574231c55bfdb728.webp","https://icodrops.com/unitas/","Binance Wallet Booster Program","—","$5 M","Stablecoin Protocol","from Jan 12, 2026","","","","","","","","",""
"OpenGradient","","https://icodrops.com/media/cache/0c/54/0c54e11dfa65322245667abccfb8d783.webp","https://icodrops.com/opengradient/","Incentivized Activities","$8.5 M","—","Infrastructure","from Q1, 2026","","Andreessen Horowitz (a16z)","Balaji Srinivasan","Coinbase Ventures","More Details","","","",""
"Archer","","https://icodrops.com/media/cache/68/92/68923b4b16de05d2a1a1fa71c0a2f15a.webp","https://icodrops.com/archer/","Incentivized Activities","—","—","DEX","Active","","Solana","","","","","","",""
"Raiku","","https://icodrops.com/media/cache/4e/a2/4ea2a4dfb4169843f160491342c3dc6f.webp","https://icodrops.com/raiku/","Incentivized Activities","$13.5 M","—","Infrastructure","Active","","Jump Crypto","Pantera Capital","Faction","More Details","","","",""
